accidentId,region_id,relationship
AE_FIRE_EM_00078,REG_서귀포시_호근동,OCCURRED_IN_REGION
AE_FIRE_EM_00079,REG_서귀포시_서귀동,OCCURRED_IN_REGION
AE_FIRE_EM_00080,REG_서귀포시_법환동,OCCURRED_IN_REGION
AE_FIRE_EM_00081,REG_제주시_애월읍,OCCURRED_IN_REGION
AE_FIRE_EM_00082,REG_서귀포시_호근동,OCCURRED_IN_REGION
AE_FIRE_EM_00083,REG_서귀포시_중문동,OCCURRED_IN_REGION
AE_FIRE_EM_00084,REG_제주시_건입동,OCCURRED_IN_REGION
AE_FIRE_EM_00085,REG_서귀포시_안덕면,OCCURRED_IN_REGION
AE_FIRE_EM_00086,REG_서귀포시_강정동,OCCURRED_IN_REGION
AE_FIRE_EM_00087,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00088,REG_제주시_구좌읍,OCCURRED_IN_REGION
AE_FIRE_EM_00089,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00090,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00091,REG_제주시_한림읍,OCCURRED_IN_REGION
AE_FIRE_EM_00092,REG_제주시_한림읍,OCCURRED_IN_REGION
AE_FIRE_EM_00093,REG_제주시_한림읍,OCCURRED_IN_REGION
AE_FIRE_EM_00094,REG_제주시_한림읍,OCCURRED_IN_REGION
AE_FIRE_EM_00095,REG_제주시_한림읍,OCCURRED_IN_REGION
AE_FIRE_EM_00096,REG_제주시_한림읍,OCCURRED_IN_REGION
AE_FIRE_EM_00097,REG_제주시_한림읍,OCCURRED_IN_REGION
AE_FIRE_EM_00098,REG_제주시_한림읍,OCCURRED_IN_REGION
AE_FIRE_EM_00099,REG_제주시_애월읍,OCCURRED_IN_REGION
AE_FIRE_EM_00100,REG_제주시_한림읍,OCCURRED_IN_REGION
AE_FIRE_EM_00101,REG_제주시_한림읍,OCCURRED_IN_REGION
AE_FIRE_EM_00102,REG_제주시_한림읍,OCCURRED_IN_REGION
AE_FIRE_EM_00103,REG_제주시_한림읍,OCCURRED_IN_REGION
AE_FIRE_EM_00104,REG_제주시_한림읍,OCCURRED_IN_REGION
AE_FIRE_EM_00105,REG_서귀포시_남원읍,OCCURRED_IN_REGION
AE_FIRE_EM_00106,REG_제주시_애월읍,OCCURRED_IN_REGION
AE_FIRE_EM_00107,REG_제주시_애월읍,OCCURRED_IN_REGION
AE_FIRE_EM_00108,REG_제주시_애월읍,OCCURRED_IN_REGION
AE_FIRE_EM_00109,REG_제주시_애월읍,OCCURRED_IN_REGION
AE_FIRE_EM_00110,REG_제주시_애월읍,OCCURRED_IN_REGION
AE_FIRE_EM_00111,REG_제주시_한림읍,OCCURRED_IN_REGION
AE_FIRE_EM_00112,REG_제주시_한경면,OCCURRED_IN_REGION
AE_FIRE_EM_00113,REG_서귀포시_대정읍,OCCURRED_IN_REGION
AE_FIRE_EM_00114,REG_제주시_한경면,OCCURRED_IN_REGION
AE_FIRE_EM_00115,REG_제주시_한경면,OCCURRED_IN_REGION
AE_FIRE_EM_00116,REG_서귀포시_대정읍,OCCURRED_IN_REGION
AE_FIRE_EM_00117,REG_서귀포시_대정읍,OCCURRED_IN_REGION
AE_FIRE_EM_00118,REG_서귀포시_안덕면,OCCURRED_IN_REGION
AE_FIRE_EM_00119,REG_서귀포시_색달동,OCCURRED_IN_REGION
AE_FIRE_EM_00120,REG_서귀포시_안덕면,OCCURRED_IN_REGION
AE_FIRE_EM_00121,REG_서귀포시_안덕면,OCCURRED_IN_REGION
AE_FIRE_EM_00122,REG_서귀포시_안덕면,OCCURRED_IN_REGION
