placeId,riskScore,riskBasis,nearbyAnnualAvg,regionAnnualAvg
P567,0.0823,nearby_1km,1.0,103.67
P568,0.5861,region_only,0.0,120.33
P569,0.1982,nearby_1km,2.0,103.67
P570,0.0823,nearby_1km,1.0,103.67
P571,0.0823,nearby_1km,1.0,32.0
P572,0.5669,region_only,0.0,103.67
P573,0.0,nearby_1km,0.5,103.67
P574,0.1461,nearby_1km,1.5,103.67
P575,0.0,nearby_1km,0.5,120.33
P576,0.1461,nearby_1km,1.5,114.0
P577,0.0,nearby_1km,0.5,79.33
P578,0.0823,nearby_1km,1.0,57.0
P579,0.1461,nearby_1km,1.5,134.0
P580,0.0823,nearby_1km,1.0,57.0
P581,0.1461,nearby_1km,1.5,54.67
P582,0.2576,region_only,0.0,8.67
P583,0.1982,nearby_1km,2.0,120.33
P584,0.0,nearby_1km,0.5,101.33
P585,0.5825,region_only,0.0,117.0
P586,0.5792,region_only,0.0,114.0
P587,0.5825,region_only,0.0,117.0
P588,0.1982,nearby_1km,2.0,1.33
P589,0.1461,nearby_1km,1.5,54.67
P590,0.0823,nearby_1km,1.0,54.67
P591,0.0296,region_only,0.0,0.67
P592,0.4194,nearby_1km,5.5,9.0
P593,0.3965,nearby_1km,5.0,103.67
P594,0.0,nearby_1km,0.5,114.0
P595,0.4903,region_only,0.0,57.0
P596,0.4903,region_only,0.0,57.0
P597,0.485,region_only,0.0,54.67
P598,0.5426,nearby_1km,9.0,26.67
P599,0.5669,region_only,0.0,103.67
P600,0.5825,region_only,0.0,117.0
P601,0.5792,region_only,0.0,114.0
P602,0.6,region_only,0.0,134.0
P603,0.0,nearby_1km,0.5,3.0
P604,0.1461,nearby_1km,1.5,2.67
P605,0.0,nearby_1km,0.5,0.33
P606,0.6,region_only,0.0,134.0
P607,0.5861,region_only,0.0,120.33
P608,0.5861,region_only,0.0,120.33
P609,0.5861,region_only,0.0,120.33
P610,0.0,nearby_1km,0.5,57.0
P611,0.0823,nearby_1km,1.0,57.0
P612,0.4171,region_only,0.0,32.0
P613,0.2782,region_only,0.0,10.33
P614,0.1461,nearby_1km,1.5,32.0
P615,0.564,region_only,0.0,101.33
P616,0.564,region_only,0.0,101.33
P617,0.5084,region_only,0.0,65.67
P618,0.3142,nearby_1km,3.5,66.33
P619,0.485,region_only,0.0,54.67
P620,0.4171,region_only,0.0,32.0
P621,0.564,region_only,0.0,101.33
P622,0.5861,region_only,0.0,120.33
P623,0.2423,nearby_1km,2.5,65.67
P624,0.1461,nearby_1km,1.5,57.0
P625,0.3142,nearby_1km,3.5,79.33
