placeId,recentAreaTotal,recentAreaTypes,recentAreaPeriod,recentAreaBasis
P812,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P813,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P814,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P840,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P860,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P866,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P867,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P870,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P898,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P902,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P906,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P513,9,낙상:6;추락:3,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P826,9,낙상:6;추락:3,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P852,9,낙상:6;추락:3,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P317,3,열상:1;추락:1;낙상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P338,3,열상:1;추락:1;낙상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P190,9,낙상:6;상해:1;기타 둔상:1;추락:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P314,9,낙상:6;상해:1;기타 둔상:1;추락:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P235,4,낙상:2;추락:1;관통상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P046,2,낙상:2,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P196,2,낙상:2,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P276,2,낙상:2,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P353,2,낙상:2,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P876,2,낙상:2,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P122,71,낙상:35;상해:12;기타 둔상:11;열상:7;관통상:4;추락:2,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P426,71,낙상:35;상해:12;기타 둔상:11;열상:7;관통상:4;추락:2,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P160,2,추락:2,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P031,22,낙상:14;상해:2;열상:2;기타 둔상:2;추락:1;관통상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P237,22,낙상:14;상해:2;열상:2;기타 둔상:2;추락:1;관통상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P205,10,낙상:5;기타 둔상:2;관통상:2;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P272,10,낙상:5;기타 둔상:2;관통상:2;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P460,10,낙상:5;기타 둔상:2;관통상:2;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P476,10,낙상:5;기타 둔상:2;관통상:2;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
