accidentId,placeId,relationship,distance_m
AE_FIRE_PT_00435,P150,OCCURRED_AT,308
AE_FIRE_PT_00436,P150,OCCURRED_AT,308
AE_FIRE_PT_00437,P150,OCCURRED_AT,308
AE_FIRE_PT_00438,P1012,OCCURRED_AT,776
AE_FIRE_PT_00441,P185,OCCURRED_AT,127
AE_FIRE_PT_00442,P112,OCCURRED_AT,103
AE_FIRE_PT_00443,P112,OCCURRED_AT,103
AE_FIRE_PT_00444,P262,OCCURRED_AT,62
AE_FIRE_PT_00446,P093,OCCURRED_AT,987
AE_FIRE_PT_00447,P030,OCCURRED_AT,677
AE_FIRE_PT_00448,P951,OCCURRED_AT,36
AE_FIRE_PT_00449,P525,OCCURRED_AT,304
AE_FIRE_PT_00450,P701,OCCURRED_AT,206
AE_FIRE_PT_00453,P707,OCCURRED_AT,14
AE_FIRE_PT_00454,P124,OCCURRED_AT,158
AE_FIRE_PT_00455,P131,OCCURRED_AT,203
AE_FIRE_PT_00456,P319,OCCURRED_AT,592
AE_FIRE_PT_00457,P171,OCCURRED_AT,186
AE_FIRE_PT_00458,P125,OCCURRED_AT,67
AE_FIRE_PT_00459,P348,OCCURRED_AT,146
AE_FIRE_PT_00461,P237,OCCURRED_AT,327
AE_FIRE_PT_00462,P222,OCCURRED_AT,41
AE_FIRE_PT_00463,P449,OCCURRED_AT,511
AE_FIRE_PT_00464,P196,OCCURRED_AT,479
AE_FIRE_PT_00465,P510,OCCURRED_AT,181
AE_FIRE_PT_00466,P131,OCCURRED_AT,83
AE_FIRE_PT_00467,P540,OCCURRED_AT,328
AE_FIRE_PT_00468,P347,OCCURRED_AT,42
AE_FIRE_PT_00469,P974,OCCURRED_AT,872
AE_FIRE_PT_00470,P756,OCCURRED_AT,163
AE_FIRE_PT_00471,P304,OCCURRED_AT,79
AE_FIRE_PT_00473,P070,OCCURRED_AT,216
AE_FIRE_PT_00474,P005,OCCURRED_AT,327
AE_FIRE_PT_00475,P061,OCCURRED_AT,605
AE_FIRE_PT_00476,P061,OCCURRED_AT,605
AE_FIRE_PT_00478,P016,OCCURRED_AT,240
AE_FIRE_PT_00479,P627,OCCURRED_AT,324
AE_FIRE_PT_00480,P017,OCCURRED_AT,78
AE_FIRE_PT_00481,P999,OCCURRED_AT,137
AE_FIRE_PT_00482,P331,OCCURRED_AT,202
AE_FIRE_PT_00483,P738,OCCURRED_AT,85
AE_FIRE_PT_00484,P147,OCCURRED_AT,279
AE_FIRE_PT_00485,P830,OCCURRED_AT,237
AE_FIRE_PT_00486,P125,OCCURRED_AT,133
AE_FIRE_PT_00487,P870,OCCURRED_AT,652
AE_FIRE_PT_00488,P870,OCCURRED_AT,652
AE_FIRE_PT_00489,P047,OCCURRED_AT,137
AE_FIRE_PT_00490,P070,OCCURRED_AT,63
AE_FIRE_PT_00491,P070,OCCURRED_AT,168
AE_FIRE_PT_00493,P302,OCCURRED_AT,510
AE_FIRE_PT_00494,P708,OCCURRED_AT,579
AE_FIRE_PT_00495,P027,OCCURRED_AT,97
AE_FIRE_PT_00497,P438,OCCURRED_AT,38
AE_FIRE_PT_00498,P197,OCCURRED_AT,733
AE_FIRE_PT_00499,P701,OCCURRED_AT,500
AE_FIRE_PT_00500,P797,OCCURRED_AT,564
AE_FIRE_PT_00501,P165,OCCURRED_AT,20
AE_FIRE_PT_00502,P803,OCCURRED_AT,857
AE_FIRE_PT_00503,P083,OCCURRED_AT,117
AE_FIRE_PT_00504,P196,OCCURRED_AT,461
AE_FIRE_PT_00505,P227,OCCURRED_AT,683
AE_FIRE_PT_00506,P004,OCCURRED_AT,64
AE_FIRE_PT_00507,P070,OCCURRED_AT,222
AE_FIRE_PT_00509,P344,OCCURRED_AT,134
AE_FIRE_PT_00510,P936,OCCURRED_AT,164
AE_FIRE_PT_00511,P525,OCCURRED_AT,276
AE_FIRE_PT_00512,P525,OCCURRED_AT,276
AE_FIRE_PT_00514,P230,OCCURRED_AT,181
AE_FIRE_PT_00515,P567,OCCURRED_AT,359
AE_FIRE_PT_00516,P197,OCCURRED_AT,234
AE_FIRE_PT_00517,P367,OCCURRED_AT,473
AE_FIRE_PT_00518,P071,OCCURRED_AT,258
AE_FIRE_PT_00519,P006,OCCURRED_AT,129
AE_FIRE_PT_00520,P006,OCCURRED_AT,125
AE_FIRE_PT_00521,P833,OCCURRED_AT,129
AE_FIRE_PT_00522,P833,OCCURRED_AT,129
AE_FIRE_PT_00523,P016,OCCURRED_AT,606
AE_FIRE_PT_00524,P016,OCCURRED_AT,606
AE_FIRE_PT_00525,P957,OCCURRED_AT,23
AE_FIRE_PT_00526,P589,OCCURRED_AT,444
AE_FIRE_PT_00528,P352,OCCURRED_AT,205
AE_FIRE_PT_00529,P271,OCCURRED_AT,41
AE_FIRE_PT_00530,P698,OCCURRED_AT,883
AE_FIRE_PT_00531,P179,OCCURRED_AT,155
AE_FIRE_PT_00532,P179,OCCURRED_AT,155
AE_FIRE_PT_00533,P449,OCCURRED_AT,721
AE_FIRE_PT_00534,P951,OCCURRED_AT,69
AE_FIRE_PT_00535,P244,OCCURRED_AT,483
AE_FIRE_PT_00536,P899,OCCURRED_AT,359
AE_FIRE_PT_00537,P061,OCCURRED_AT,238
AE_FIRE_PT_00538,P103,OCCURRED_AT,37
AE_FIRE_PT_00540,P219,OCCURRED_AT,567
