accidentId,risk_id,relationship,attribution
AE_FIRE_2020_10921,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_10951,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_11098,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_11100,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_11114,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_11179,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_11183,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_11186,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_11200,RP_MACHINE_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_11228,RP_ANIMAL_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_11229,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_11230,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_11261,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_11267,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_11280,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_11304,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_11305,RP_ANIMAL_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_11329,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_11330,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_11333,RP_ANIMAL_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_11347,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_11348,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
