risk_id,placeId,relationship
RP_WIND_02,P552,APPLIES_TO
RP_WIND_02,P554,APPLIES_TO
RP_WIND_02,P555,APPLIES_TO
RP_WIND_02,P557,APPLIES_TO
RP_WIND_02,P558,APPLIES_TO
RP_WIND_02,P560,APPLIES_TO
RP_WIND_02,P561,APPLIES_TO
RP_WIND_02,P562,APPLIES_TO
RP_WIND_02,P566,APPLIES_TO
RP_WIND_02,P567,APPLIES_TO
RP_WIND_02,P568,APPLIES_TO
RP_WIND_02,P572,APPLIES_TO
RP_WIND_02,P577,APPLIES_TO
RP_WIND_02,P578,APPLIES_TO
RP_WIND_02,P580,APPLIES_TO
RP_WIND_02,P581,APPLIES_TO
RP_WIND_02,P584,APPLIES_TO
RP_WIND_02,P594,APPLIES_TO
RP_WIND_02,P596,APPLIES_TO
RP_WIND_02,P600,APPLIES_TO
RP_WIND_02,P601,APPLIES_TO
RP_WIND_02,P602,APPLIES_TO
RP_WIND_02,P604,APPLIES_TO
RP_WIND_02,P605,APPLIES_TO
RP_WIND_02,P606,APPLIES_TO
RP_WIND_02,P607,APPLIES_TO
RP_WIND_02,P608,APPLIES_TO
RP_WIND_02,P609,APPLIES_TO
RP_WIND_02,P610,APPLIES_TO
RP_WIND_02,P611,APPLIES_TO
RP_WIND_02,P612,APPLIES_TO
RP_WIND_02,P613,APPLIES_TO
RP_WIND_02,P615,APPLIES_TO
RP_WIND_02,P616,APPLIES_TO
RP_WIND_02,P619,APPLIES_TO
RP_WIND_02,P620,APPLIES_TO
RP_WIND_02,P621,APPLIES_TO
RP_WIND_02,P622,APPLIES_TO
RP_WIND_02,P623,APPLIES_TO
RP_WIND_02,P624,APPLIES_TO
RP_WIND_02,P627,APPLIES_TO
RP_WIND_02,P628,APPLIES_TO
RP_WIND_02,P630,APPLIES_TO
RP_WIND_02,P631,APPLIES_TO
RP_WIND_02,P632,APPLIES_TO
RP_WIND_02,P633,APPLIES_TO
RP_WIND_02,P634,APPLIES_TO
RP_WIND_02,P636,APPLIES_TO
RP_WIND_02,P739,APPLIES_TO
RP_WIND_02,P740,APPLIES_TO
RP_WIND_02,P741,APPLIES_TO
RP_WIND_02,P742,APPLIES_TO
RP_WIND_02,P744,APPLIES_TO
RP_WIND_02,P745,APPLIES_TO
RP_WIND_02,P746,APPLIES_TO
RP_WIND_02,P747,APPLIES_TO
RP_WIND_02,P748,APPLIES_TO
RP_WIND_02,P749,APPLIES_TO
RP_WIND_02,P750,APPLIES_TO
RP_WIND_02,P751,APPLIES_TO
RP_WIND_02,P752,APPLIES_TO
RP_WIND_02,P753,APPLIES_TO
RP_WIND_02,P754,APPLIES_TO
RP_WIND_02,P755,APPLIES_TO
RP_WIND_02,P756,APPLIES_TO
RP_WIND_02,P757,APPLIES_TO
RP_WIND_02,P758,APPLIES_TO
RP_WIND_02,P759,APPLIES_TO
RP_WIND_02,P760,APPLIES_TO
RP_WIND_02,P761,APPLIES_TO
RP_WIND_02,P762,APPLIES_TO
RP_WIND_02,P763,APPLIES_TO
RP_WIND_02,P764,APPLIES_TO
RP_WIND_02,P765,APPLIES_TO
RP_WIND_02,P766,APPLIES_TO
RP_WIND_02,P767,APPLIES_TO
RP_WIND_02,P768,APPLIES_TO
RP_WIND_02,P769,APPLIES_TO
RP_WIND_02,P770,APPLIES_TO
RP_WIND_02,P771,APPLIES_TO
RP_WIND_02,P772,APPLIES_TO
RP_WIND_02,P773,APPLIES_TO
RP_WIND_02,P774,APPLIES_TO
RP_WIND_02,P775,APPLIES_TO
RP_WIND_02,P776,APPLIES_TO
RP_WIND_02,P777,APPLIES_TO
RP_WIND_02,P778,APPLIES_TO
RP_WIND_02,P779,APPLIES_TO
RP_WIND_02,P780,APPLIES_TO
RP_WIND_02,P781,APPLIES_TO
RP_WIND_02,P782,APPLIES_TO
RP_WIND_02,P783,APPLIES_TO
RP_WIND_02,P784,APPLIES_TO
RP_WIND_02,P785,APPLIES_TO
RP_WIND_02,P786,APPLIES_TO
RP_WIND_02,P787,APPLIES_TO
RP_WIND_02,P788,APPLIES_TO
RP_WIND_02,P789,APPLIES_TO
RP_WIND_02,P790,APPLIES_TO
RP_WIND_02,P791,APPLIES_TO
RP_WIND_02,P792,APPLIES_TO
RP_WIND_02,P793,APPLIES_TO
RP_WIND_02,P794,APPLIES_TO
RP_WIND_02,P795,APPLIES_TO
RP_WIND_02,P796,APPLIES_TO
RP_WIND_02,P797,APPLIES_TO
RP_WIND_02,P798,APPLIES_TO
RP_WIND_02,P859,APPLIES_TO
RP_WIND_02,P860,APPLIES_TO
RP_WIND_02,P861,APPLIES_TO
RP_WIND_02,P862,APPLIES_TO
RP_WIND_02,P863,APPLIES_TO
RP_WIND_02,P864,APPLIES_TO
RP_WIND_02,P865,APPLIES_TO
RP_WIND_02,P866,APPLIES_TO
RP_WIND_02,P867,APPLIES_TO
RP_WIND_02,P868,APPLIES_TO
RP_WIND_02,P869,APPLIES_TO
RP_WIND_02,P870,APPLIES_TO
RP_WIND_02,P871,APPLIES_TO
